time_ms,temp_c,humidity,gas_raw,bvoc,label
2580000,20.67,24.59,10.10,0.16,2
2600000,20.66,24.60,10.10,0.16,2
2620000,20.65,24.58,10.10,0.16,2
2640000,20.65,24.60,10.11,0.16,2
2660000,20.65,24.57,10.11,0.16,2
2680000,20.63,24.60,10.11,0.16,2
2700000,20.62,24.62,10.11,0.16,2
2720000,20.62,24.62,10.11,0.16,2
2740000,20.61,24.62,10.12,0.16,2
2760000,20.60,24.63,10.12,0.16,2
2780000,20.60,24.65,10.13,0.16,2
2800000,20.60,24.65,10.13,0.16,2
2820000,20.60,24.65,10.13,0.16,2
2840000,20.61,24.63,10.13,0.16,2
2860000,20.61,24.64,10.13,0.16,2
2880000,20.61,24.65,10.13,0.16,2
